Domain,Average Sentiment,Top Keywords (Frequency),Total Responses
E-commerce,0.09,"{'wishlist': 53, 'service': 21, 'discounts': 94}",61
Aerospace,0.39,"{'aviation': 67, 'engineering': 85, 'rockets': 29}",146
Government,0.81,"{'public services': 41, 'laws': 72, 'policy': 81}",160
Agriculture,0.01,"{'crops': 81, 'weather': 91, 'farming': 37}",195
Gaming,0.21,"{'gameplay': 36, 'multiplayer': 86, 'esports': 64}",87
Fashion,0.44,"{'luxury': 32, 'streetwear': 40, 'trends': 52}",63
Telecommunications,0.81,"{'signal': 75, 'network': 43, '5G': 41}",153
Technology,0.8,"{'speed': 61, 'hardware': 26, 'bug': 66}",115
Agriculture,0.44,"{'fertilizers': 76, 'farming': 83, 'livestock': 63}",53
Entertainment,0.3,"{'video games': 59, 'reviews': 75, 'awards': 51}",140
Finance,0.65,"{'interest': 50, 'credit': 32, 'budgeting': 43}",45
Agriculture,0.55,"{'pesticides': 68, 'weather': 39, 'livestock': 90}",53
Aerospace,0.91,"{'safety': 73, 'space travel': 35, 'rockets': 55}",125
Food & Beverage,0.11,"{'gourmet': 69, 'ingredients': 32, 'cuisine': 34}",132
Education,0.54,"{'interface': 66, 'curriculum': 75, 'usability': 39}",183
Healthcare,0.79,"{'telehealth': 69, 'access': 95, 'patient care': 44}",174
Entertainment,0.71,"{'video games': 47, 'box office': 83, 'subscriptions': 78}",183
Real Estate,0.12,"{'housing market': 84, 'construction': 51, 'investment': 91}",154
Agriculture,0.31,"{'sustainability': 23, 'farming': 27, 'fertilizers': 65}",153
Aerospace,0.48,"{'rockets': 30, 'fuel efficiency': 83, 'space travel': 34}",103
Education,0.98,"{'learning': 58, 'usability': 72, 'exams': 76}",112
Automobile,0.34,"{'repairs': 32, 'performance': 75, 'warranty': 40}",199
Healthcare,0.16,"{'telehealth': 56, 'diagnosis': 84, 'wait times': 58}",127
Finance,0.41,"{'insurance': 25, 'budgeting': 64, 'interest': 56}",186
Healthcare,0.7,"{'access': 61, 'insurance': 54, 'telehealth': 56}",78
Agriculture,0.96,"{'weather': 100, 'fertilizers': 27, 'soil quality': 30}",78
Hospitality,0.7,"{'budget': 61, 'reservations': 30, 'restaurants': 77}",55
Automobile,0.38,"{'performance': 41, 'insurance': 31, 'fuel efficiency': 64}",106
Education,0.67,"{'learning': 25, 'usability': 74, 'exams': 55}",104
Real Estate,0.71,"{'rent': 60, 'investment': 37, 'amenities': 64}",148
Gaming,0.83,"{'mobile': 63, 'multiplayer': 97, 'console': 98}",105
Finance,0.79,"{'budgeting': 40, 'credit': 52, 'savings': 81}",64
Finance,0.99,"{'loan': 86, 'investment': 35, 'interest': 39}",147
Telecommunications,0.47,"{'customer support': 25, 'ISP': 94, 'roaming': 46}",159
Food & Beverage,0.23,"{'gourmet': 48, 'restaurants': 98, 'cuisine': 62}",197
Technology,0.41,"{'software': 42, 'performance': 89, 'cloud': 100}",84
Security,0.64,"{'encryption': 29, 'authentication': 61, 'firewalls': 33}",34
Real Estate,0.19,"{'amenities': 22, 'investment': 63, 'property tax': 98}",52
Education,0.89,"{'curriculum': 20, 'assessment': 50, 'teachers': 71}",132
Telecommunications,0.79,"{'data plans': 45, 'customer support': 41, 'infrastructure': 39}",136
Retail,0.18,"{'discount': 72, 'stock': 80, 'loyalty programs': 24}",32
Aerospace,0.27,"{'fuel efficiency': 91, 'defense': 47, 'aviation': 74}",99
Aerospace,0.01,"{'satellites': 100, 'missions': 39, 'engineering': 91}",177
Fashion,0.64,"{'luxury': 40, 'seasons': 67, 'retail': 81}",81
Finance,0.65,"{'budgeting': 87, 'savings': 85, 'taxes': 80}",94
Agriculture,0.66,"{'crops': 61, 'irrigation': 64, 'fertilizers': 43}",195
Technology,0.53,"{'hardware': 61, 'cloud': 97, 'performance': 26}",135
Real Estate,0.21,"{'pricing': 35, 'construction': 58, 'rent': 55}",115
Food & Beverage,0.42,"{'delivery': 70, 'gourmet': 48, 'sustainability': 36}",96
